"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
412,14,"Outlet",,2023-7-13 00:00:00,"16:05",22.30,21.50,1.01,8.39,28.60,2.47,684.00,5.00,2.23,59.90,,"Removed 0",0.04,0.02,0.02,,26.60,1.94,5.00,,,,,,
411,14,"Inlet",,2023-7-13 00:00:00,"15:40",21.03,21.50,1.01,7.35,24.50,2.18,672.00,9.00,2.17,59.80,4.0e-03,,0.05,0.02,0.04,,25.40,1.99,8.00,,,,,,
410,6,"Outlet",,2023-7-13 00:00:00,"11:50",15.97,20.08,1.00,8.14,31.00,3.05,748.00,4.00,3.04,59.90,0.03,,0.06,0.04,0.01,1.89,4.90,2.14,9.00,,,,,,
409,6,"Inlet",,2023-7-13 00:00:00,"11:30",12.84,20.08,1.00,8.44,32.30,3.40,687.00,5.00,3.32,66.10,0.01,,0.06,0.02,7.0e-03,,9.10,0.39,10.00,,,,,,
408,39,"Outlet",,2023-7-12 00:00:00,"14:00",17.71,16.46,1.01,8.08,19.60,1.86,729.00,74.00,2.45,61.50,0.02,,0.28,0.05,0.06,,19.20,1.57,53.00,,,,,,
407,39,"Inlet",,2023-7-12 00:00:00,"13:20",14.65,16.46,1.01,7.78,18.60,1.88,1127.00,8.00,3.89,98.00,0.04,,0.12,0.06,0.19,0.30,11.60,1.15,15.00,,,,,,
406,16,"Inlet",,2023-7-12 00:00:00,"11:45",13.41,17.25,1.01,8.78,22.40,2.31,594.00,3.00,4.56,51.40,0.02,,0.03,0.02,0.02,0.80,3.50,0.95,5.00,,,,,,
405,16,"Outlet",,2023-7-12 00:00:00,"11:15",17.33,17.25,1.01,7.37,23.60,2.25,408.00,9.00,2.82,36.50,0.21,,0.58,0.27,0.02,,16.70,1.19,78.00,,,,,,
404,20,"Outlet",,2023-7-11 00:00:00,"16:15",16.98,22.23,1.01,8.03,4.80,0.46,662.00,16.00,3.83,56.60,0.05,,0.38,0.11,0.01,,21.50,1.61,22.00,,,,,,
403,20,"Inlet",,2023-7-11 00:00:00,"15:45",21.93,22.23,1.01,7.90,4.70,0.41,755.00,18.00,3.28,65.10,7.0e-03,,0.17,0.02,0.01,,16.10,1.11,33.00,,,,,,
